Date,Open,High,Low,Close,Volume,isin,ticker_used
2009-05-05,81.99524688720703,81.99524688720703,81.99524688720703,81.99524688720703,0,IE00B3F81R35,IE00B3F81R35
2009-05-06,81.99524688720703,81.99524688720703,81.99524688720703,81.99524688720703,0,IE00B3F81R35,IE00B3F81R35
2009-05-07,82.77685249935695,82.77685249935695,82.77685249935695,82.4485855102539,59,IE00B3F81R35,IE00B3F81R35
2009-05-08,82.94096330801929,82.97222710731415,82.94096330801929,82.91751098632812,3400,IE00B3F81R35,IE00B3F81R35
2009-05-11,83.15980291464297,83.15980291464297,83.15980291464297,82.90969848632812,1000,IE00B3F81R35,IE00B3F81R35
2009-05-12,83.07383390909665,83.07383390909665,83.07383390909665,82.90188598632812,58,IE00B3F81R35,IE00B3F81R35
2009-05-13,83.3786496535671,83.3786496535671,83.3786496535671,83.1754379272461,858,IE00B3F81R35,IE00B3F81R35
2009-05-14,82.71429608705375,82.76118879932967,82.71429608705375,83.0972671508789,4016,IE00B3F81R35,IE00B3F81R35
2009-05-15,83.47243193430731,83.47243193430731,83.47243193430731,83.1441650390625,167,IE00B3F81R35,IE00B3F81R35
2009-05-18,83.1441650390625,83.1441650390625,83.1441650390625,83.1441650390625,0,IE00B3F81R35,IE00B3F81R35
2009-05-19,83.1441650390625,83.1441650390625,83.1441650390625,83.1441650390625,0,IE00B3F81R35,IE00B3F81R35
2009-05-20,83.43334597613216,83.43334597613216,83.43334597613216,83.2066879272461,1000,IE00B3F81R35,IE00B3F81R35
2009-05-21,83.55059894039246,83.62875546318654,83.55059894039246,83.50370025634766,2000,IE00B3F81R35,IE00B3F81R35
2009-05-22,83.50370025634766,83.50370025634766,83.50370025634766,83.50370025634766,0,IE00B3F81R35,IE00B3F81R35
2009-05-26,83.47243609895003,83.55059261582784,83.47243609895003,83.1832504272461,1950,IE00B3F81R35,IE00B3F81R35
2009-05-27,83.39426204440636,83.39426204440636,83.39426204440636,83.19886779785156,100,IE00B3F81R35,IE00B3F81R35
2009-05-28,83.355192396145,83.39426767031654,83.355192396145,83.26921844482422,3500,IE00B3F81R35,IE00B3F81R35
2009-05-29,83.62873400801986,83.70689051076268,83.62873400801986,83.53494262695312,1140,IE00B3F81R35,IE00B3F81R35
2009-06-01,83.70690108417891,83.70690108417891,83.70690108417891,83.59748077392578,4449,IE00B3F81R35,IE00B3F81R35
2009-06-02,83.35518957592404,83.35518957592404,83.35518957592404,83.76942443847656,527,IE00B3F81R35,IE00B3F81R35
2009-06-03,84.09771154633069,84.25403057529502,84.09771154633069,84.23839569091797,4527,IE00B3F81R35,IE00B3F81R35
2009-06-04,84.38689931590285,84.38689931590285,84.33218914518422,84.08208465576172,1165,IE00B3F81R35,IE00B3F81R35
2009-06-05,84.01952320735226,84.01952320735226,84.01952320735226,83.6990737915039,1000,IE00B3F81R35,IE00B3F81R35
2009-06-08,83.6990737915039,83.6990737915039,83.6990737915039,83.6990737915039,0,IE00B3F81R35,IE00B3F81R35
2009-06-09,83.6990737915039,83.6990737915039,83.6990737915039,83.6990737915039,0,IE00B3F81R35,IE00B3F81R35
2009-06-10,83.6990737915039,83.6990737915039,83.6990737915039,83.6990737915039,0,IE00B3F81R35,IE00B3F81R35
2009-06-11,83.6990737915039,83.6990737915039,83.6990737915039,83.6990737915039,0,IE00B3F81R35,IE00B3F81R35
2009-06-12,83.6990737915039,83.6990737915039,83.6990737915039,83.6990737915039,0,IE00B3F81R35,IE00B3F81R35
2009-06-15,84.60570723532074,84.60570723532074,84.60570723532074,84.44939422607422,1000,IE00B3F81R35,IE00B3F81R35
2009-06-16,84.44939422607422,84.44939422607422,84.44939422607422,84.44939422607422,0,IE00B3F81R35,IE00B3F81R35
2009-06-17,84.99650829585839,84.99650829585839,84.49629943671727,84.73858642578125,2853,IE00B3F81R35,IE00B3F81R35
2009-06-18,84.46504156360506,84.46504156360506,84.46504156360506,84.65261840820312,648,IE00B3F81R35,IE00B3F81R35
2009-06-19,84.65261840820312,84.65261840820312,84.65261840820312,84.65261840820312,0,IE00B3F81R35,IE00B3F81R35
2009-06-22,84.65261840820312,84.65261840820312,84.65261840820312,84.65261840820312,0,IE00B3F81R35,IE00B3F81R35
2009-06-23,85.05121745211612,85.05121745211612,85.05121745211612,84.81674194335938,5616,IE00B3F81R35,IE00B3F81R35
2009-06-24,84.0195132929253,84.29306400407805,83.86320030454037,83.7146987915039,83397,IE00B3F81R35,IE00B3F81R35
2009-06-25,83.86323962265065,84.09770921515583,83.86323962265065,83.98828887939453,7761,IE00B3F81R35,IE00B3F81R35
2009-06-26,84.12896638668936,84.18367655025622,84.12896638668936,83.91012573242188,5585,IE00B3F81R35,IE00B3F81R35
2009-06-29,84.37124834270617,84.37124834270617,84.21493530273438,84.21493530273438,27803,IE00B3F81R35,IE00B3F81R35
2009-06-30,84.41032665883533,84.44159045833825,83.94138159221158,84.15240478515625,8852,IE00B3F81R35,IE00B3F81R35
