Date,Open,High,Low,Close,Volume,isin,ticker_used
2019-07-23,80.0,80.0,80.0,80.0,0,IE00BK5BQT80,IE00BK5BQT80
2019-07-24,80.26360321044922,80.26360321044922,80.26360321044922,80.26360321044922,0,IE00BK5BQT80,IE00BK5BQT80
2019-07-25,79.92500305175781,79.92500305175781,79.92500305175781,79.92500305175781,0,IE00BK5BQT80,IE00BK5BQT80
2019-07-26,79.98999786376953,80.12000274658203,79.98999786376953,80.06500244140625,110,IE00BK5BQT80,IE00BK5BQT80
2019-07-29,80.12000274658203,80.2699966430664,80.0,80.03500366210938,2811,IE00BK5BQT80,IE00BK5BQT80
2019-07-30,79.8499984741211,79.8499984741211,79.62999725341797,79.6050033569336,354,IE00BK5BQT80,IE00BK5BQT80
2019-07-31,79.79000091552734,79.79000091552734,79.6500015258789,79.69999694824219,1516,IE00BK5BQT80,IE00BK5BQT80
2019-08-01,79.13999938964844,79.13999938964844,79.13999938964844,79.63500213623047,51,IE00BK5BQT80,IE00BK5BQT80
2019-08-02,78.62999725341797,78.62999725341797,77.58000183105469,77.41500091552734,3309,IE00BK5BQT80,IE00BK5BQT80
2019-08-05,77.30000305175781,77.30000305175781,76.0,75.94999694824219,735,IE00BK5BQT80,IE00BK5BQT80
2019-08-06,76.06999969482422,76.25,75.7699966430664,76.01000213623047,6528470,IE00BK5BQT80,IE00BK5BQT80
2019-08-07,76.61000061035156,76.61000061035156,75.4000015258789,75.8499984741211,2035,IE00BK5BQT80,IE00BK5BQT80
2019-08-08,77.16000366210938,77.37999725341797,77.16000366210938,77.26000213623047,337,IE00BK5BQT80,IE00BK5BQT80
2019-08-09,77.52999877929688,77.7300033569336,76.98999786376953,76.73500061035156,5154,IE00BK5BQT80,IE00BK5BQT80
2019-08-12,77.0999984741211,77.0999984741211,76.5999984741211,76.5,150,IE00BK5BQT80,IE00BK5BQT80
2019-08-13,76.0,77.38999938964844,76.0,77.09500122070312,4887,IE00BK5BQT80,IE00BK5BQT80
2019-08-14,77.06999969482422,77.06999969482422,75.5999984741211,75.5,106727,IE00BK5BQT80,IE00BK5BQT80
2019-08-15,75.77999877929688,75.77999877929688,75.0,75.1449966430664,3447,IE00BK5BQT80,IE00BK5BQT80
2019-08-16,76.05999755859375,76.29000091552734,76.05999755859375,76.19000244140625,610,IE00BK5BQT80,IE00BK5BQT80
2019-08-19,77.04000091552734,77.08999633789062,77.01000213623047,77.08499908447266,503,IE00BK5BQT80,IE00BK5BQT80
2019-08-20,76.8550033569336,76.8550033569336,76.8550033569336,76.8550033569336,0,IE00BK5BQT80,IE00BK5BQT80
2019-08-21,77.19999694824219,77.19999694824219,76.94000244140625,77.2249984741211,1026,IE00BK5BQT80,IE00BK5BQT80
2019-08-22,77.22000122070312,77.3499984741211,77.22000122070312,76.80000305175781,2702,IE00BK5BQT80,IE00BK5BQT80
2019-08-23,77.3499984741211,77.3499984741211,77.0,76.18000030517578,335,IE00BK5BQT80,IE00BK5BQT80
